name,brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,price_ranges,screen_size_range,battery_capacity_range,rear_camera_range
Asus ZenFone 5Z (ZS620KL),Asus,ZenFone 5Z (ZS620KL),3300,6.2,Yes,1080,2246,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,227.99,200-400€,6+(inches),3000-3500(mah),0-24(mp)
Redmi Note 5 Pro,Xiaomi,Redmi Note 5 Pro,4000,5.99,Yes,1080,2160,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,112.19,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Nokia 7 Plus,Nokia,7 Plus,3800,6.0,Yes,1080,2160,8,4000,64.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy S9+,Samsung,Galaxy S9+,3500,6.2,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,200-400€,6+(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy S9,Samsung,Galaxy S9,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,323.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
HTC U11+,HTC,U11+,3930,6.0,Yes,1440,2560,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,635.88,600-800€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy Note 8,Samsung,Galaxy Note 8,3300,6.3,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,599.99,400-600€,6+(inches),3000-3500(mah),0-24(mp)
Apple iPhone 8,Apple,iPhone 8,1821,4.7,Yes,750,1334,6,2000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,443.99,400-600€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Apple iPhone 8 Plus,Apple,iPhone 8 Plus,2691,5.5,Yes,1080,1920,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,564.0,400-600€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Apple iPhone X,Apple,iPhone X,2716,5.8,Yes,1125,2436,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,839.99,800-1000€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Motorola Moto Z2 Force,Motorola,Moto Z2 Force,2730,5.5,Yes,1440,2560,8,6000,64.0,12.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,251.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
HTC U11,HTC,U11,3000,5.5,Yes,1440,2560,8,6000,128.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,647.88,600-800€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Nokia 8,Nokia,8,3090,5.3,Yes,1440,2560,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.93,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy S8+,Samsung,Galaxy S8+,3500,6.2,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,360.0,200-400€,6+(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy S8,Samsung,Galaxy S8,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,323.93,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
LG G6,LG,G6,3300,5.7,Yes,1440,2880,1,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,287.88,200-400€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
OnePlus 3T,OnePlus,3T,3400,5.5,Yes,1080,1920,4,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.99,200-400€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy C9 Pro,Samsung,Galaxy C9 Pro,4000,6.0,Yes,1080,1920,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,No,Yes,203.99,200-400€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Google Pixel XL,Google,Pixel XL,3450,5.5,Yes,1440,2560,4,4000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,371.88,200-400€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Apple iPhone 7 Plus,Apple,iPhone 7 Plus,2900,5.5,Yes,1080,1920,4,3000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,419.99,400-600€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Apple iPhone 7,Apple,iPhone 7,1960,4.7,Yes,750,1334,4,2000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,335.99,200-400€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Honor 8,Honor,8,3000,5.2,Yes,1080,1920,8,4000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,242.95,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
OnePlus 3,OnePlus,3,3000,5.5,Yes,1080,1920,4,6000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,275.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Asus ZenFone 3 Deluxe (ZS570KL),Asus,ZenFone 3 Deluxe (ZS570KL),3000,5.7,Yes,1080,1920,4,6000,256.0,23.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,539.99,400-600€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Xiaomi Mi 5,Xiaomi,Mi 5,3000,5.15,Yes,1080,1920,4,3000,32.0,16.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,299.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy S7 Edge,Samsung,Galaxy S7 Edge,3600,5.5,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.95,400-600€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy S7,Samsung,Galaxy S7,3000,5.1,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,287.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Motorola Moto X Force,Motorola,Moto X Force,3760,5.4,Yes,1440,2560,8,3000,32.0,21.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,83.93,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Google Nexus 6P,Huawei,Google Nexus 6P,3450,5.7,Yes,1440,2560,8,3000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,515.98,400-600€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Apple iPhone 6s Plus,Apple,iPhone 6s Plus,2750,5.5,Yes,1080,1920,1,2000,16.0,12.0,5.0,iOS,Yes,Yes,Yes,1,Yes,Yes,311.88,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Yu Yureka Plus,Yu,reka Plus,2500,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,71.94,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy A8,Samsung,Galaxy A8,3050,5.7,Yes,1080,1920,8,2000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.59,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy S6,Samsung,Galaxy S6,2550,5.1,Yes,1440,2560,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,311.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Yu Yureka,Yu,reka,2500,5.5,Yes,720,1280,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,47.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Xiaomi Redmi Note,Xiaomi,Redmi Note,3100,5.5,Yes,720,1280,8,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,95.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Realme C3,Realme,C3,5000,6.52,Yes,720,1600,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,<200€,6+(inches),4500-6000(mah),0-24(mp)
Poco X2,Poco,X2,4500,6.67,Yes,1080,2400,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99,<200€,6+(inches),3500-4500(mah),48-64(mp)
Samsung Galaxy S10 Lite,Samsung,Galaxy S10 Lite,4500,6.7,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,1,No,No,479.99,400-600€,6+(inches),3500-4500(mah),32-48(mp)
Realme 5i,Realme,5i,5000,6.52,Yes,720,1600,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,<200€,6+(inches),4500-6000(mah),0-24(mp)
Samsung Galaxy Note 10 Lite,Samsung,Galaxy Note 10 Lite,4500,6.7,Yes,1080,2400,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,467.99,400-600€,6+(inches),3500-4500(mah),0-24(mp)
Vivo V17,Vivo,V17,4500,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,253.8,200-400€,6+(inches),3500-4500(mah),32-48(mp)
Vivo U20,Vivo,U20,5000,6.53,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88,<200€,6+(inches),4500-6000(mah),0-24(mp)
Realme 5s,Realme,5s,5000,6.5,Yes,720,1600,8,4000,64.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,<200€,6+(inches),4500-6000(mah),32-48(mp)
Realme X2,Realme,X2,4000,6.4,Yes,1080,2340,8,4000,64.0,64.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,200-400€,6+(inches),3500-4500(mah),48-64(mp)
Vivo V17 Pro,Vivo,V17 Pro,4100,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,314.64,200-400€,6+(inches),3500-4500(mah),32-48(mp)
Nubia Red Magic 3S,Nubia,Red Magic 3S,5000,6.65,Yes,1080,2340,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,575.99,400-600€,6+(inches),4500-6000(mah),32-48(mp)
Samsung Galaxy M30s,Samsung,Galaxy M30s,6000,6.4,Yes,1080,2340,8,4000,64.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99,<200€,6+(inches),4500-6000(mah),32-48(mp)
Vivo Z1x,Vivo,Z1x,4500,6.38,Yes,1080,2340,8,4000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.88,<200€,6+(inches),3500-4500(mah),32-48(mp)
Oppo Reno 2Z,Oppo,Reno 2Z,4000,6.53,Yes,1080,2340,8,8000,256.0,48.0,16.0,Android,Yes,Yes,No,1,No,No,277.2,200-400€,6+(inches),3500-4500(mah),32-48(mp)
Realme XT,Realme,XT,4000,6.4,Yes,1080,2340,8,4000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99,<200€,6+(inches),3500-4500(mah),48-64(mp)
Redmi Note 8 Pro,Xiaomi,Redmi Note 8 Pro,4500,6.53,Yes,1080,2340,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99,<200€,6+(inches),3500-4500(mah),48-64(mp)
Nokia 7.2,Nokia,7.2,3500,6.3,Yes,1080,2340,8,4000,64.0,48.0,20.0,Android,Yes,Yes,No,2,Yes,Yes,184.52,<200€,6+(inches),3000-3500(mah),32-48(mp)
Samsung Galaxy A50s,Samsung,Galaxy A50s,4000,6.4,Yes,1080,2340,8,4000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,199.8,<200€,6+(inches),3500-4500(mah),32-48(mp)
Realme 5 Pro,Realme,5 Pro,4035,6.3,Yes,1080,2340,8,4000,64.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99,<200€,6+(inches),3500-4500(mah),32-48(mp)
Realme 5,Realme,5,5000,6.5,Yes,720,1600,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.2,<200€,6+(inches),4500-6000(mah),0-24(mp)
Vivo Z1 Pro,Vivo,Z1 Pro,5000,6.53,Yes,1080,2340,8,4000,64.0,16.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88,<200€,6+(inches),4500-6000(mah),0-24(mp)
Xiaomi Mi A3,Xiaomi,Mi A3,4030,6.08,Yes,720,1560,8,4000,64.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,142.14,<200€,6+(inches),3500-4500(mah),32-48(mp)
Asus 6Z,Asus,6Z,5000,6.4,Yes,1080,2340,8,6000,64.0,48.0,48.0,Android,Yes,Yes,Yes,2,Yes,Yes,335.99,200-400€,6+(inches),4500-6000(mah),32-48(mp)
Samsung Galaxy M40,Samsung,Galaxy M40,3500,6.3,Yes,1080,2340,8,6000,128.0,32.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,202.55,200-400€,6+(inches),3000-3500(mah),24-32(mp)
Redmi Note 7S,Xiaomi,Redmi Note 7S,4000,6.3,Yes,1080,2340,8,3000,32.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.79,<200€,6+(inches),3500-4500(mah),32-48(mp)
Motorola One Vision,Motorola,One Vision,3500,6.3,Yes,1080,2520,8,4000,128.0,48.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,164.28,<200€,6+(inches),3000-3500(mah),32-48(mp)
Nubia Red Magic 3,Nubia,Red Magic 3,5000,6.65,Yes,1080,2340,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,431.99,400-600€,6+(inches),4500-6000(mah),32-48(mp)
Oppo A9,Oppo,A9,4020,6.53,Yes,1080,2340,8,4000,128.0,16.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,143.88,<200€,6+(inches),3500-4500(mah),0-24(mp)
Google Pixel 3a XL,Google,Pixel 3a XL,3700,6.0,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,419.99,400-600€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy A70,Samsung,Galaxy A70,4500,6.7,Yes,1080,2400,8,6000,128.0,32.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,267.59,200-400€,6+(inches),3500-4500(mah),24-32(mp)
Black Shark 2,Black Shark,2,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,200-400€,6+(inches),3500-4500(mah),32-48(mp)
OnePlus 7,OnePlus,7,3700,6.41,Yes,1080,2340,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,200-400€,6+(inches),3500-4500(mah),32-48(mp)
LG G8s ThinQ,LG,G8s ThinQ,3550,6.2,Yes,1080,2248,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.88,400-600€,6+(inches),3500-4500(mah),0-24(mp)
Vivo V15 Pro,Vivo,V15 Pro,3700,6.39,Yes,1080,2340,8,6000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.68,200-400€,6+(inches),3500-4500(mah),32-48(mp)
Redmi Note 7,Xiaomi,Redmi Note 7,4000,6.3,Yes,1080,2340,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,116.39,<200€,6+(inches),3500-4500(mah),0-24(mp)
Xiaomi Redmi 7,Xiaomi,Redmi 7,4000,6.26,Yes,720,1520,8,2000,16.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.98,<200€,6+(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy M20,Samsung,Galaxy M20,5000,6.3,Yes,1080,2340,8,3000,32.0,13.0,8.0,Android,No,Yes,Yes,2,Yes,Yes,119.99,<200€,6+(inches),4500-6000(mah),0-24(mp)
Samsung Galaxy M30,Samsung,Galaxy M30,5000,6.4,Yes,1080,2340,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.99,<200€,6+(inches),4500-6000(mah),0-24(mp)
Honor View 20,Honor,View 20,4000,6.4,Yes,1080,2310,8,6000,128.0,48.0,25.0,Android,Yes,Yes,Yes,1,No,No,301.44,200-400€,6+(inches),3500-4500(mah),32-48(mp)
Asus ZenFone Max Pro M2,Asus,ZenFone Max Pro M2,5000,6.26,Yes,1080,2280,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99,<200€,6+(inches),4500-6000(mah),0-24(mp)
Google Pixel 3a,Google,Pixel 3a,3000,5.6,Yes,1080,2220,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,371.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Realme U1,Realme,U1,3500,6.3,Yes,1080,2340,8,3000,32.0,13.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,<200€,6+(inches),3000-3500(mah),0-24(mp)
Honor 10 Lite,Honor,10 Lite,3400,6.21,Yes,1080,2340,8,3000,32.0,13.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,<200€,6+(inches),3000-3500(mah),0-24(mp)
Nokia 8.1,Nokia,8.1,3500,6.18,Yes,1080,2244,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,216.0,200-400€,6+(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy A9 (2018),Samsung,Galaxy A9 (2018),3800,6.3,Yes,1080,2220,8,6000,128.0,24.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,264.0,200-400€,6+(inches),3500-4500(mah),0-24(mp)
Oppo K1,Oppo,K1,3600,6.41,Yes,1080,2340,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,1,No,No,119.88,<200€,6+(inches),3500-4500(mah),0-24(mp)
Nokia 7.1,Nokia,7.1,3060,5.84,Yes,1080,2280,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,No,No,142.8,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Realme 2 Pro,Realme,2 Pro,3500,6.3,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,141.24,<200€,6+(inches),3000-3500(mah),0-24(mp)
Vivo V9 Pro,Vivo,V9 Pro,3260,6.3,Yes,1080,2280,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,197.88,<200€,6+(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy A7 (2018),Samsung,Galaxy A7 (2018),3300,6.0,Yes,1080,2220,8,4000,64.0,24.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,197.88,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Xiaomi Redmi Note 6 Pro,Xiaomi,Redmi Note 6 Pro,4000,6.26,Yes,1080,2280,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,114.96,<200€,6+(inches),3500-4500(mah),0-24(mp)
Vivo V11 Pro,Vivo,V11 Pro,3400,6.41,Yes,1080,2340,8,6000,64.0,12.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.88,<200€,6+(inches),3000-3500(mah),0-24(mp)
