brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price
Samsung,Galaxy S8+,3500,6.2,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,360.00
Samsung,Galaxy S8,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,323.93
LG,G6,3300,5.7,Yes,1440,2880,1,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,287.88
OnePlus,3T,3400,5.5,Yes,1080,1920,4,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.99
Samsung,Galaxy C9 Pro,4000,6.0,Yes,1080,1920,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,No,Yes,203.99
Google,Pixel XL,3450,5.5,Yes,1440,2560,4,4000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,371.88
Apple,iPhone 7 Plus,2900,5.5,Yes,1080,1920,4,3000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,419.99
Apple,iPhone 7,1960,4.7,Yes,750,1334,4,2000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,335.99
Honor,8,3000,5.2,Yes,1080,1920,8,4000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,242.95
OnePlus,3,3000,5.5,Yes,1080,1920,4,6000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,275.99
Asus,ZenFone 3 Deluxe (ZS570KL),3000,5.7,Yes,1080,1920,4,6000,256.0,23.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,539.99
Xiaomi,Mi 5,3000,5.15,Yes,1080,1920,4,3000,32.0,16.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,299.99
Samsung,Galaxy S7 Edge,3600,5.5,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.95
Samsung,Galaxy S7,3000,5.1,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,287.99
Motorola,Moto X Force,3760,5.4,Yes,1440,2560,8,3000,32.0,21.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,83.93
Huawei,Google Nexus 6P,3450,5.7,Yes,1440,2560,8,3000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,515.98
Apple,iPhone 6s Plus,2750,5.5,Yes,1080,1920,1,2000,16.0,12.0,5.0,iOS,Yes,Yes,Yes,1,Yes,Yes,311.88
Yu,reka Plus,2500,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,71.94
Samsung,Galaxy A8,3050,5.7,Yes,1080,1920,8,2000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.59
Samsung,Galaxy S6,2550,5.1,Yes,1440,2560,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,311.99
Yu,reka,2500,5.5,Yes,720,1280,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,47.99
Xiaomi,Redmi Note,3100,5.5,Yes,720,1280,8,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,95.99
Realme,C3,5000,6.52,Yes,720,1600,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99
Poco,X2,4500,6.67,Yes,1080,2400,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99
Samsung,Galaxy S10 Lite,4500,6.7,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,1,No,No,479.99
Realme,5i,5000,6.52,Yes,720,1600,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99
Samsung,Galaxy Note 10 Lite,4500,6.7,Yes,1080,2400,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,467.99
Vivo,V17,4500,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,253.80
Vivo,U20,5000,6.53,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88
Realme,5s,5000,6.5,Yes,720,1600,8,4000,64.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99
Realme,X2,4000,6.4,Yes,1080,2340,8,4000,64.0,64.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99
Vivo,V17 Pro,4100,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,314.64
Nubia,Red Magic 3S,5000,6.65,Yes,1080,2340,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,575.99
Samsung,Galaxy M30s,6000,6.4,Yes,1080,2340,8,4000,64.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99
Vivo,Z1x,4500,6.38,Yes,1080,2340,8,4000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.88
Oppo,Reno 2Z,4000,6.53,Yes,1080,2340,8,8000,256.0,48.0,16.0,Android,Yes,Yes,No,1,No,No,277.20
Realme,XT,4000,6.4,Yes,1080,2340,8,4000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99
Xiaomi,Redmi Note 8 Pro,4500,6.53,Yes,1080,2340,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99
Nokia,7.2,3500,6.3,Yes,1080,2340,8,4000,64.0,48.0,20.0,Android,Yes,Yes,No,2,Yes,Yes,184.52
Samsung,Galaxy A50s,4000,6.4,Yes,1080,2340,8,4000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,199.80
Realme,5 Pro,4035,6.3,Yes,1080,2340,8,4000,64.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99
Realme,5,5000,6.5,Yes,720,1600,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.20
Vivo,Z1 Pro,5000,6.53,Yes,1080,2340,8,4000,64.0,16.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88
Xiaomi,Mi A3,4030,6.08,Yes,720,1560,8,4000,64.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,142.14
Asus,6Z,5000,6.4,Yes,1080,2340,8,6000,64.0,48.0,48.0,Android,Yes,Yes,Yes,2,Yes,Yes,335.99
Samsung,Galaxy M40,3500,6.3,Yes,1080,2340,8,6000,128.0,32.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,202.55
Xiaomi,Redmi Note 7S,4000,6.3,Yes,1080,2340,8,3000,32.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.79
Motorola,One Vision,3500,6.3,Yes,1080,2520,8,4000,128.0,48.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,164.28
Nubia,Red Magic 3,5000,6.65,Yes,1080,2340,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,431.99
Oppo,A9,4020,6.53,Yes,1080,2340,8,4000,128.0,16.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,143.88
Google,Pixel 3a XL,3700,6.0,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,419.99
Samsung,Galaxy A70,4500,6.7,Yes,1080,2400,8,6000,128.0,32.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,267.59
Black Shark,2,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99
OnePlus,7,3700,6.41,Yes,1080,2340,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99
LG,G8s ThinQ,3550,6.2,Yes,1080,2248,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.88
Vivo,V15 Pro,3700,6.39,Yes,1080,2340,8,6000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.68
Xiaomi,Redmi Note 7,4000,6.3,Yes,1080,2340,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,116.39
Xiaomi,Redmi 7,4000,6.26,Yes,720,1520,8,2000,16.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.98
Samsung,Galaxy M20,5000,6.3,Yes,1080,2340,8,3000,32.0,13.0,8.0,Android,No,Yes,Yes,2,Yes,Yes,119.99
Samsung,Galaxy M30,5000,6.4,Yes,1080,2340,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.99
Honor,View 20,4000,6.4,Yes,1080,2310,8,6000,128.0,48.0,25.0,Android,Yes,Yes,Yes,1,No,No,301.44
Asus,ZenFone Max Pro M2,5000,6.26,Yes,1080,2280,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99
Google,Pixel 3a,3000,5.6,Yes,1080,2220,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,371.99
Realme,U1,3500,6.3,Yes,1080,2340,8,3000,32.0,13.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99
Honor,10 Lite,3400,6.21,Yes,1080,2340,8,3000,32.0,13.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99
Nokia,8.1,3500,6.18,Yes,1080,2244,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,216.00
Samsung,Galaxy A9 (2018),3800,6.3,Yes,1080,2220,8,6000,128.0,24.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,264.00
Oppo,K1,3600,6.41,Yes,1080,2340,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,1,No,No,119.88
Nokia,7.1,3060,5.84,Yes,1080,2280,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,No,No,142.80
Realme,2 Pro,3500,6.3,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,141.24
Vivo,V9 Pro,3260,6.3,Yes,1080,2280,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,197.88
Samsung,Galaxy A7 (2018),3300,6.0,Yes,1080,2220,8,4000,64.0,24.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,197.88
Xiaomi,Redmi Note 6 Pro,4000,6.26,Yes,1080,2280,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,114.96
Vivo,V11 Pro,3400,6.41,Yes,1080,2340,8,6000,64.0,12.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.88
Oppo,R17 Pro,3700,6.4,Yes,1080,2340,8,8000,128.0,12.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,255.59
Nokia,5.1 Plus,3060,5.86,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99
Honor,8X,3750,6.5,Yes,1080,2340,8,4000,64.0,20.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99
Poco,F1,4000,6.18,Yes,1080,2246,8,6000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.88
Nokia,6.1 Plus,3060,5.8,Yes,1080,2280,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99
Vivo,Nex,4000,6.59,Yes,1080,2316,8,8000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99
Oppo,Find X,3730,6.42,Yes,1080,2340,8,8000,256.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,709.08
Honor,Play,3750,6.3,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,216.13
Realme,1,3410,6.0,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,123.59
Xiaomi,Mi A2,3000,5.99,Yes,1080,2160,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88
Honor,10,3400,5.84,Yes,1080,2280,8,6000,128.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.88
Oppo,F7,3400,6.23,Yes,1080,2280,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,227.88
Vivo,X21,3200,6.28,Yes,1080,2280,8,6000,64.0,12.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,219.48
Nokia,8 Sirocco,3260,5.5,Yes,1440,2560,8,6000,128.0,12.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,167.99
Infinix,Hot S3,4000,5.65,Yes,720,1440,8,3000,32.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99
Nokia,6.1,3000,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.19
Honor,View 10,3750,5.99,Yes,1080,2160,8,6000,128.0,16.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,190.79
Infinix,Zero 5 Pro,4350,5.98,Yes,1080,1920,8,6000,128.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,190.80
Oppo,F5,3200,6.0,Yes,1080,2160,8,4000,32.0,16.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,125.99
OnePlus,5T,3300,6.01,Yes,1080,2160,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,341.99
Honor,9i,3340,5.9,Yes,1080,2160,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99
Xiaomi,Mi MIX 2,3400,5.99,Yes,1080,2160,8,6000,64.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99
Lenovo,K8 Plus,4000,5.2,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.88
Xiaomi,Mi A1,3080,5.5,Yes,1080,1920,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99
Sony,Xperia XZ1,2700,5.2,Yes,1080,1920,8,4000,32.0,19.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,419.88
LG,V30+,3300,6.0,Yes,1440,2880,8,4000,128.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,335.99
Lenovo,K8 Note,4000,5.5,Yes,1080,1920,10,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.59
Motorola,Moto G5S,3000,5.2,Yes,1080,1920,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99
Google,Pixel 2 XL,3520,6.0,Yes,1440,2880,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,155.93
Google,Pixel 2,2700,5.0,Yes,1080,1920,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,119.93
Motorola,Moto X4,3000,5.2,Yes,1080,1920,8,3000,32.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,150.00
Motorola,Moto G5S Plus,3000,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,102.00
Xiaomi,Redmi 5,3300,5.7,Yes,720,1440,8,2000,16.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,77.99
Xiaomi,Redmi Note 5,4000,5.99,Yes,1080,2160,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,104.39
Jio,Phone,2000,2.4,No,240,320,2,512,4.0,2.0,0.3,Cyanogen,Yes,Yes,Yes,1,No,Yes,14.99
Samsung,Galaxy On Max,3300,5.7,Yes,1080,1920,8,4000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,118.68
Motorola,Moto Z2 Play,3000,5.5,Yes,1080,1920,8,4000,64.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,125.99
Yu,reka Black,3000,5.0,Yes,1080,1920,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.88
Xiaomi,Mi Max 2,5300,6.44,Yes,1080,1920,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99
Coolpad,Cool Play 6,4060,5.5,Yes,1080,1920,8,6000,64.0,13.0,8.0,Android,Yes,Yes,No,2,No,Yes,107.99
OnePlus,5,3300,5.5,Yes,1080,1920,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,209.99
Asus,ZenFone Zoom S,5000,5.5,Yes,1080,1920,8,4000,64.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,323.99
Honor,8 Pro,4000,5.7,Yes,1440,2560,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,No,Yes,211.03
Micromax,Dual 5,3200,5.5,Yes,1080,1920,8,4000,128.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99
Oppo,F3 Plus,4000,6.0,Yes,1080,1920,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.88
Sony,Xperia XZ Premium,3230,5.5,Yes,2160,3840,8,4000,64.0,19.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,402.00
Motorola,Moto G5 Plus,3000,5.2,Yes,1080,1920,8,3000,16.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,130.80
Asus,ZenFone 3S Max,5000,5.2,Yes,720,1280,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,179.99
Samsung,Galaxy C7 Pro,3300,5.7,Yes,1080,1920,1,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99
HTC,U Play,2500,5.2,Yes,1080,1920,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,186.00
HTC,U Ultra,3000,5.7,Yes,1440,2560,4,4000,64.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,655.98
Asus,ZenFone AR,3300,5.7,Yes,1440,2560,4,8000,128.0,23.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,599.99
Xiaomi,Redmi 4A,3120,5.0,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99
Xiaomi,Redmi 4,4100,5.0,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99
Nubia,Z11 mini S,3000,5.2,Yes,1080,1920,8,4000,64.0,23.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99
Lenovo,Z2 Plus,3500,5.0,Yes,1080,1920,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,137.99
LG,V20,3200,5.7,Yes,1440,2560,4,4000,64.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,323.99
Lenovo,K6 Power,4000,5.0,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,102.00
Sony,Xperia XZ,2900,5.2,Yes,1080,1920,4,3000,64.0,23.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99
Samsung,Galaxy J7 Prime,3300,5.5,Yes,1080,1920,8,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.94
Motorola,Moto Z Play,3510,5.5,Yes,1080,1920,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88
Xiaomi,Redmi Note 4,4100,5.5,Yes,1080,1920,8,2000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88
Xiaomi,Redmi 3S Prime,4100,5.0,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,96.00
Motorola,Moto Z,2600,5.5,Yes,1440,2560,4,4000,64.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99
Asus,ZenFone 3 (ZE552KL),3000,5.5,Yes,1080,1920,8,4000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99
