brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,performance_c,cam_c,size_c,battery_t,url
Oppo,K3,3765,6.5,Yes,1080,2340,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,287.88,3,2,2,3,https://www.amazon.com/s?k=Oppo+K3
Realme,X,3765,6.53,Yes,1080,2340,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99,4,3,3,3,https://www.amazon.com/s?k=Realme+X
Xiaomi,Redmi K20,4000,6.39,Yes,1080,2340,8,6000,64.0,48.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,231.38,3,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+K20
OnePlus,7 Pro,4000,6.67,Yes,1440,3120,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.94,4,3,3,3,https://www.amazon.com/s?k=OnePlus+7+Pro
Oppo,Reno 10x Zoom,4065,6.6,Yes,1080,2340,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,443.88,4,3,3,4,https://www.amazon.com/s?k=Oppo+Reno+10x+Zoom
Realme,3 Pro,4045,6.3,Yes,1080,2340,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99,3,2,2,4,https://www.amazon.com/s?k=Realme+3+Pro
Huawei,P30 Pro,4200,6.47,Yes,1080,2340,8,8000,256.0,40.0,32.0,Android,Yes,Yes,No,2,Yes,Yes,651.36,5,3,3,4,https://www.amazon.com/s?k=Huawei+P30+Pro
Xiaomi,Redmi Note 7 Pro,4000,6.3,Yes,1080,2340,8,4000,64.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,117.59,3,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+Note+7+Pro
Huawei,Mate 20 Pro,4200,6.39,Yes,1440,3120,8,6000,128.0,40.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,767.88,4,3,3,4,https://www.amazon.com/s?k=Huawei+Mate+20+Pro
LG,V40 ThinQ,3300,6.4,Yes,1440,3120,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,4,3,3,3,https://www.amazon.com/s?k=LG+V40+ThinQ
OnePlus,6T,3700,6.41,Yes,1080,2340,8,6000,128.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,383.99,4,3,3,3,https://www.amazon.com/s?k=OnePlus+6T
Apple,iPhone XR,2942,6.1,Yes,828,1792,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,545.99,3,2,2,2,https://www.amazon.com/s?k=Apple+iPhone+XR
Apple,iPhone XS Max,2658,6.5,Yes,1242,2688,6,4000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,839.99,3,2,2,2,https://www.amazon.com/s?k=Apple+iPhone+XS+Max
Apple,iPhone XS,2658,5.8,Yes,1125,2436,6,4000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,719.99,3,2,2,2,https://www.amazon.com/s?k=Apple+iPhone+XS
Google,Pixel 3 XL,3430,6.3,Yes,1440,2960,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,575.88,3,2,2,3,https://www.amazon.com/s?k=Google+Pixel+3+XL
Google,Pixel 3,2915,5.5,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,455.99,3,2,2,2,https://www.amazon.com/s?k=Google+Pixel+3
Asus,ROG Phone,4000,6.0,Yes,1080,2160,8,8000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,839.99,4,3,3,3,https://www.amazon.com/s?k=Asus+ROG+Phone
Samsung,Galaxy Note 9,4000,6.4,Yes,1440,2960,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,683.99,4,3,3,3,https://www.amazon.com/s?k=Samsung+Galaxy+Note+9
LG,G7+ ThinQ,3000,6.1,Yes,1440,3120,8,6000,128.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,455.99,4,3,3,2,https://www.amazon.com/s?k=LG+G7++ThinQ
Asus,ZenFone Max Pro M1,5000,5.99,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88,2,2,2,4,https://www.amazon.com/s?k=Asus+ZenFone+Max+Pro+M1
Huawei,P20 Pro,4000,6.1,Yes,1080,2240,8,4000,64.0,40.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,599.88,3,2,2,3,https://www.amazon.com/s?k=Huawei+P20+Pro
OnePlus,6,3300,6.28,Yes,1080,2280,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,419.99,3,2,2,3,https://www.amazon.com/s?k=OnePlus+6
Asus,ZenFone 5Z (ZS620KL),3300,6.2,Yes,1080,2246,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,227.99,3,2,2,3,https://www.amazon.com/s?k=Asus+ZenFone+5Z+(ZS620KL)
Xiaomi,Redmi Note 5 Pro,4000,5.99,Yes,1080,2160,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,112.19,3,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+Note+5+Pro
Nokia,7 Plus,3800,6.0,Yes,1080,2160,8,4000,64.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,3,2,2,3,https://www.amazon.com/s?k=Nokia+7+Plus
Samsung,Galaxy S9+,3500,6.2,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,3,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+S9+
Samsung,Galaxy S9,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,323.99,3,2,2,2,https://www.amazon.com/s?k=Samsung+Galaxy+S9
HTC,U11+,3930,6.0,Yes,1440,2560,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,635.88,4,3,3,3,https://www.amazon.com/s?k=HTC+U11+
Samsung,Galaxy Note 8,3300,6.3,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,599.99,3,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+Note+8
Apple,iPhone 8,1821,4.7,Yes,750,1334,6,2000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,443.99,2,2,2,1,https://www.amazon.com/s?k=Apple+iPhone+8
Apple,iPhone 8 Plus,2691,5.5,Yes,1080,1920,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,564.0,3,2,2,2,https://www.amazon.com/s?k=Apple+iPhone+8+Plus
Apple,iPhone X,2716,5.8,Yes,1125,2436,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,839.99,3,2,2,2,https://www.amazon.com/s?k=Apple+iPhone+X
Motorola,Moto Z2 Force,2730,5.5,Yes,1440,2560,8,6000,64.0,12.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,251.99,3,2,2,2,https://www.amazon.com/s?k=Motorola+Moto+Z2+Force
HTC,U11,3000,5.5,Yes,1440,2560,8,6000,128.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,647.88,4,3,3,2,https://www.amazon.com/s?k=HTC+U11
Nokia,8,3090,5.3,Yes,1440,2560,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.93,3,2,2,3,https://www.amazon.com/s?k=Nokia+8
Samsung,Galaxy S8+,3500,6.2,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,360.0,3,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+S8+
Samsung,Galaxy S8,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,323.93,3,2,2,2,https://www.amazon.com/s?k=Samsung+Galaxy+S8
LG,G6,3300,5.7,Yes,1440,2880,1,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,287.88,1,1,1,3,https://www.amazon.com/s?k=LG+G6
OnePlus,3T,3400,5.5,Yes,1080,1920,4,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.99,3,2,2,3,https://www.amazon.com/s?k=OnePlus+3T
Samsung,Galaxy C9 Pro,4000,6.0,Yes,1080,1920,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,No,Yes,203.99,3,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+C9+Pro
Google,Pixel XL,3450,5.5,Yes,1440,2560,4,4000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,371.88,1,1,1,3,https://www.amazon.com/s?k=Google+Pixel+XL
Apple,iPhone 7 Plus,2900,5.5,Yes,1080,1920,4,3000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,419.99,1,1,1,2,https://www.amazon.com/s?k=Apple+iPhone+7+Plus
Apple,iPhone 7,1960,4.7,Yes,750,1334,4,2000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,335.99,1,1,1,1,https://www.amazon.com/s?k=Apple+iPhone+7
Honor,8,3000,5.2,Yes,1080,1920,8,4000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,242.95,3,2,2,2,https://www.amazon.com/s?k=Honor+8
OnePlus,3,3000,5.5,Yes,1080,1920,4,6000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,275.99,3,2,2,2,https://www.amazon.com/s?k=OnePlus+3
Asus,ZenFone 3 Deluxe (ZS570KL),3000,5.7,Yes,1080,1920,4,6000,256.0,23.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,539.99,5,3,3,2,https://www.amazon.com/s?k=Asus+ZenFone+3+Deluxe+(ZS570KL)
Xiaomi,Mi 5,3000,5.15,Yes,1080,1920,4,3000,32.0,16.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,299.99,1,1,1,2,https://www.amazon.com/s?k=Xiaomi+Mi+5
Samsung,Galaxy S7 Edge,3600,5.5,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.95,3,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+S7+Edge
Samsung,Galaxy S7,3000,5.1,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,287.99,3,2,2,2,https://www.amazon.com/s?k=Samsung+Galaxy+S7
Motorola,Moto X Force,3760,5.4,Yes,1440,2560,8,3000,32.0,21.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,83.93,2,2,2,3,https://www.amazon.com/s?k=Motorola+Moto+X+Force
Huawei,Google Nexus 6P,3450,5.7,Yes,1440,2560,8,3000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,515.98,2,2,2,3,https://www.amazon.com/s?k=Huawei+Google+Nexus+6P
Apple,iPhone 6s Plus,2750,5.5,Yes,1080,1920,1,2000,16.0,12.0,5.0,iOS,Yes,Yes,Yes,1,Yes,Yes,311.88,1,1,1,2,https://www.amazon.com/s?k=Apple+iPhone+6s+Plus
Yu,reka Plus,2500,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,71.94,2,2,2,2,https://www.amazon.com/s?k=Yu+reka+Plus
Samsung,Galaxy A8,3050,5.7,Yes,1080,1920,8,2000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.59,2,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+A8
Samsung,Galaxy S6,2550,5.1,Yes,1440,2560,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,311.99,2,2,2,2,https://www.amazon.com/s?k=Samsung+Galaxy+S6
Yu,reka,2500,5.5,Yes,720,1280,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,47.99,2,2,2,2,https://www.amazon.com/s?k=Yu+reka
Xiaomi,Redmi Note,3100,5.5,Yes,720,1280,8,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,95.99,2,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+Note
Realme,C3,5000,6.52,Yes,720,1600,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,2,2,2,4,https://www.amazon.com/s?k=Realme+C3
Poco,X2,4500,6.67,Yes,1080,2400,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99,3,2,2,4,https://www.amazon.com/s?k=Poco+X2
Samsung,Galaxy S10 Lite,4500,6.7,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,1,No,No,479.99,4,3,3,4,https://www.amazon.com/s?k=Samsung+Galaxy+S10+Lite
Realme,5i,5000,6.52,Yes,720,1600,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,3,2,2,4,https://www.amazon.com/s?k=Realme+5i
Samsung,Galaxy Note 10 Lite,4500,6.7,Yes,1080,2400,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,467.99,4,3,3,4,https://www.amazon.com/s?k=Samsung+Galaxy+Note+10+Lite
Vivo,V17,4500,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,253.8,4,3,3,4,https://www.amazon.com/s?k=Vivo+V17
Vivo,U20,5000,6.53,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88,3,2,2,4,https://www.amazon.com/s?k=Vivo+U20
Realme,5s,5000,6.5,Yes,720,1600,8,4000,64.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,3,2,2,4,https://www.amazon.com/s?k=Realme+5s
Realme,X2,4000,6.4,Yes,1080,2340,8,4000,64.0,64.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,3,2,2,3,https://www.amazon.com/s?k=Realme+X2
Vivo,V17 Pro,4100,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,314.64,4,3,3,4,https://www.amazon.com/s?k=Vivo+V17+Pro
Nubia,Red Magic 3S,5000,6.65,Yes,1080,2340,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,575.99,4,3,3,4,https://www.amazon.com/s?k=Nubia+Red+Magic+3S
Samsung,Galaxy M30s,6000,6.4,Yes,1080,2340,8,4000,64.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99,3,2,2,5,https://www.amazon.com/s?k=Samsung+Galaxy+M30s
Vivo,Z1x,4500,6.38,Yes,1080,2340,8,4000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.88,4,3,3,4,https://www.amazon.com/s?k=Vivo+Z1x
Oppo,Reno 2Z,4000,6.53,Yes,1080,2340,8,8000,256.0,48.0,16.0,Android,Yes,Yes,No,1,No,No,277.2,5,3,3,3,https://www.amazon.com/s?k=Oppo+Reno+2Z
Realme,XT,4000,6.4,Yes,1080,2340,8,4000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99,3,2,2,3,https://www.amazon.com/s?k=Realme+XT
Xiaomi,Redmi Note 8 Pro,4500,6.53,Yes,1080,2340,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99,3,2,2,4,https://www.amazon.com/s?k=Xiaomi+Redmi+Note+8+Pro
Nokia,7.2,3500,6.3,Yes,1080,2340,8,4000,64.0,48.0,20.0,Android,Yes,Yes,No,2,Yes,Yes,184.52,3,2,2,3,https://www.amazon.com/s?k=Nokia+7.2
Samsung,Galaxy A50s,4000,6.4,Yes,1080,2340,8,4000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,199.8,4,3,3,3,https://www.amazon.com/s?k=Samsung+Galaxy+A50s
Realme,5 Pro,4035,6.3,Yes,1080,2340,8,4000,64.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99,3,2,2,4,https://www.amazon.com/s?k=Realme+5+Pro
Realme,5,5000,6.5,Yes,720,1600,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.2,2,2,2,4,https://www.amazon.com/s?k=Realme+5
Vivo,Z1 Pro,5000,6.53,Yes,1080,2340,8,4000,64.0,16.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88,3,2,2,4,https://www.amazon.com/s?k=Vivo+Z1+Pro
Xiaomi,Mi A3,4030,6.08,Yes,720,1560,8,4000,64.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,142.14,3,2,2,4,https://www.amazon.com/s?k=Xiaomi+Mi+A3
Asus,6Z,5000,6.4,Yes,1080,2340,8,6000,64.0,48.0,48.0,Android,Yes,Yes,Yes,2,Yes,Yes,335.99,3,2,2,4,https://www.amazon.com/s?k=Asus+6Z
Samsung,Galaxy M40,3500,6.3,Yes,1080,2340,8,6000,128.0,32.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,202.55,4,3,3,3,https://www.amazon.com/s?k=Samsung+Galaxy+M40
Xiaomi,Redmi Note 7S,4000,6.3,Yes,1080,2340,8,3000,32.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.79,2,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+Note+7S
Motorola,One Vision,3500,6.3,Yes,1080,2520,8,4000,128.0,48.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,164.28,4,3,3,3,https://www.amazon.com/s?k=Motorola+One+Vision
Nubia,Red Magic 3,5000,6.65,Yes,1080,2340,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,431.99,4,3,3,4,https://www.amazon.com/s?k=Nubia+Red+Magic+3
Oppo,A9,4020,6.53,Yes,1080,2340,8,4000,128.0,16.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,143.88,4,3,3,4,https://www.amazon.com/s?k=Oppo+A9
Google,Pixel 3a XL,3700,6.0,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,419.99,3,2,2,3,https://www.amazon.com/s?k=Google+Pixel+3a+XL
Samsung,Galaxy A70,4500,6.7,Yes,1080,2400,8,6000,128.0,32.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,267.59,4,3,3,4,https://www.amazon.com/s?k=Samsung+Galaxy+A70
Black Shark,2,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,4,3,3,3,https://www.amazon.com/s?k=Black+Shark+2
OnePlus,7,3700,6.41,Yes,1080,2340,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,4,3,3,3,https://www.amazon.com/s?k=OnePlus+7
LG,G8s ThinQ,3550,6.2,Yes,1080,2248,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.88,3,2,2,3,https://www.amazon.com/s?k=LG+G8s+ThinQ
Vivo,V15 Pro,3700,6.39,Yes,1080,2340,8,6000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.68,4,3,3,3,https://www.amazon.com/s?k=Vivo+V15+Pro
Xiaomi,Redmi Note 7,4000,6.3,Yes,1080,2340,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,116.39,2,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+Note+7
Xiaomi,Redmi 7,4000,6.26,Yes,720,1520,8,2000,16.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.98,2,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+7
Samsung,Galaxy M20,5000,6.3,Yes,1080,2340,8,3000,32.0,13.0,8.0,Android,No,Yes,Yes,2,Yes,Yes,119.99,2,2,2,4,https://www.amazon.com/s?k=Samsung+Galaxy+M20
Samsung,Galaxy M30,5000,6.4,Yes,1080,2340,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.99,2,2,2,4,https://www.amazon.com/s?k=Samsung+Galaxy+M30
Honor,View 20,4000,6.4,Yes,1080,2310,8,6000,128.0,48.0,25.0,Android,Yes,Yes,Yes,1,No,No,301.44,4,3,3,3,https://www.amazon.com/s?k=Honor+View+20
Asus,ZenFone Max Pro M2,5000,6.26,Yes,1080,2280,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99,2,2,2,4,https://www.amazon.com/s?k=Asus+ZenFone+Max+Pro+M2
Google,Pixel 3a,3000,5.6,Yes,1080,2220,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,371.99,3,2,2,2,https://www.amazon.com/s?k=Google+Pixel+3a
Realme,U1,3500,6.3,Yes,1080,2340,8,3000,32.0,13.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,2,2,2,3,https://www.amazon.com/s?k=Realme+U1
Honor,10 Lite,3400,6.21,Yes,1080,2340,8,3000,32.0,13.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,2,2,2,3,https://www.amazon.com/s?k=Honor+10+Lite
Nokia,8.1,3500,6.18,Yes,1080,2244,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,216.0,3,2,2,3,https://www.amazon.com/s?k=Nokia+8.1
Samsung,Galaxy A9 (2018),3800,6.3,Yes,1080,2220,8,6000,128.0,24.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,264.0,4,3,3,3,https://www.amazon.com/s?k=Samsung+Galaxy+A9+(2018)
Oppo,K1,3600,6.41,Yes,1080,2340,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,1,No,No,119.88,3,2,2,3,https://www.amazon.com/s?k=Oppo+K1
Nokia,7.1,3060,5.84,Yes,1080,2280,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,No,No,142.8,3,2,2,3,https://www.amazon.com/s?k=Nokia+7.1
Realme,2 Pro,3500,6.3,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,141.24,3,2,2,3,https://www.amazon.com/s?k=Realme+2+Pro
Vivo,V9 Pro,3260,6.3,Yes,1080,2280,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,197.88,3,2,2,3,https://www.amazon.com/s?k=Vivo+V9+Pro
Samsung,Galaxy A7 (2018),3300,6.0,Yes,1080,2220,8,4000,64.0,24.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,197.88,3,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+A7+(2018)
Xiaomi,Redmi Note 6 Pro,4000,6.26,Yes,1080,2280,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,114.96,3,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+Note+6+Pro
Vivo,V11 Pro,3400,6.41,Yes,1080,2340,8,6000,64.0,12.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.88,3,2,2,3,https://www.amazon.com/s?k=Vivo+V11+Pro
Oppo,R17 Pro,3700,6.4,Yes,1080,2340,8,8000,128.0,12.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,255.59,4,3,3,3,https://www.amazon.com/s?k=Oppo+R17+Pro
Nokia,5.1 Plus,3060,5.86,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,2,2,2,3,https://www.amazon.com/s?k=Nokia+5.1+Plus
Honor,8X,3750,6.5,Yes,1080,2340,8,4000,64.0,20.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,3,2,2,3,https://www.amazon.com/s?k=Honor+8X
Poco,F1,4000,6.18,Yes,1080,2246,8,6000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.88,3,2,2,3,https://www.amazon.com/s?k=Poco+F1
Nokia,6.1 Plus,3060,5.8,Yes,1080,2280,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,3,2,2,3,https://www.amazon.com/s?k=Nokia+6.1+Plus
Vivo,Nex,4000,6.59,Yes,1080,2316,8,8000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,4,3,3,3,https://www.amazon.com/s?k=Vivo+Nex
